minute,result,X,Y,xG,player,h_a,player_id,situation,year,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
59,MissedShots,0.811999969,0.530999985,0.086429246,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,14942,SD Huesca,Barcelona,0,1,03-01-2021 20:00,Martin Braithwaite,LayOff
67,SavedShot,0.956999969,0.658000031,0.087689288,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,14942,SD Huesca,Barcelona,0,1,03-01-2021 20:00,Pedri,Pass
37,Goal,0.853000031,0.658000031,0.208058268,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,14947,Athletic Club,Barcelona,2,3,06-01-2021 20:00,Pedri,Pass
42,MissedShots,0.835999985,0.449000015,0.083785042,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,14947,Athletic Club,Barcelona,2,3,06-01-2021 20:00,Antoine Griezmann,Pass
58,ShotOnPost,0.77,0.464000015,0.036890205,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,14947,Athletic Club,Barcelona,2,3,06-01-2021 20:00,Ousmane Dembélé,Pass
61,Goal,0.920999985,0.580999985,0.137084812,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,14947,Athletic Club,Barcelona,2,3,06-01-2021 20:00,Antoine Griezmann,Pass
71,ShotOnPost,0.856999969,0.519000015,0.12755163,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,14947,Athletic Club,Barcelona,2,3,06-01-2021 20:00,Pedri,Pass
34,Goal,0.866999969,0.542999992,0.116721533,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,14951,Granada,Barcelona,0,4,09-01-2021 17:30,Antoine Griezmann,Pass
4,SavedShot,0.960999985,0.419000015,0.50488627,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,14978,Barcelona,Athletic Club,2,1,31-01-2021 20:00,Antoine Griezmann,Pass
13,MissedShots,0.953000031,0.572999992,0.468425453,Lionel Messi,h,2097,OpenPlay,2020,OtherBodyPart,14978,Barcelona,Athletic Club,2,1,31-01-2021 20:00,Miralem Pjanic,Rebound
47,BlockedShot,0.796999969,0.517999992,0.059107002,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,14978,Barcelona,Athletic Club,2,1,31-01-2021 20:00,NA,TakeOn
58,Goal,0.843000031,0.352999992,0.051654451,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,14991,Real Betis,Barcelona,2,3,07-02-2021 20:00,Ousmane Dembélé,Pass
6,SavedShot,0.97,0.835,0.017328773,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,14998,Barcelona,Alaves,5,1,13-02-2021 20:00,NA,None
45,Goal,0.764000015,0.360999985,0.031446289,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,14998,Barcelona,Alaves,5,1,13-02-2021 20:00,Sergio Busquets,TakeOn
63,MissedShots,0.848000031,0.629000015,0.081902988,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,14998,Barcelona,Alaves,5,1,13-02-2021 20:00,Antoine Griezmann,Pass
74,Goal,0.755,0.47,0.035308301,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,14998,Barcelona,Alaves,5,1,13-02-2021 20:00,Antoine Griezmann,Pass
86,SavedShot,0.9,0.655,0.101541393,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,14998,Barcelona,Alaves,5,1,13-02-2021 20:00,Riqui Puig,Chipped
17,BlockedShot,0.856999969,0.335,0.13759248,Lionel Messi,h,2097,OpenPlay,2020,RightFoot,15010,Barcelona,Cadiz,1,1,21-02-2021 13:00,Sergio Busquets,Throughball
18,MissedShots,0.743000031,0.375999985,0.020135792,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,15010,Barcelona,Cadiz,1,1,21-02-2021 13:00,Sergio Busquets,Pass
22,SavedShot,0.861999969,0.472000008,0.100670643,Lionel Messi,h,2097,OpenPlay,2020,RightFoot,15010,Barcelona,Cadiz,1,1,21-02-2021 13:00,Sergiño Dest,Pass
28,SavedShot,0.758000031,0.542000008,0.022539543,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,15010,Barcelona,Cadiz,1,1,21-02-2021 13:00,Sergio Busquets,Pass
63,MissedShots,0.919000015,0.437000008,0.05782479,Lionel Messi,h,2097,OpenPlay,2020,Head,15010,Barcelona,Cadiz,1,1,21-02-2021 13:00,Jordi Alba,Aerial
72,MissedShots,0.955999985,0.57,0.575663924,Lionel Messi,h,2097,OpenPlay,2020,RightFoot,15010,Barcelona,Cadiz,1,1,21-02-2021 13:00,NA,None
78,MissedShots,0.764000015,0.68,0.027816143,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,15010,Barcelona,Cadiz,1,1,21-02-2021 13:00,Ousmane Dembélé,Pass
47,Goal,0.92,0.485999985,0.575442791,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,14141,Barcelona,Elche,3,0,24-02-2021 20:00,Martin Braithwaite,Pass
50,BlockedShot,0.808000031,0.485,0.069300741,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,14141,Barcelona,Elche,3,0,24-02-2021 20:00,Martin Braithwaite,Pass
68,Goal,0.95,0.524000015,0.575618923,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,14141,Barcelona,Elche,3,0,24-02-2021 20:00,Frenkie de Jong,TakeOn
59,MissedShots,0.850999985,0.622999992,0.075952359,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,15026,Sevilla,Barcelona,0,2,27-02-2021 15:15,Ousmane Dembélé,Pass
84,Goal,0.975,0.54,0.730012715,Lionel Messi,a,2097,OpenPlay,2020,RightFoot,15026,Sevilla,Barcelona,0,2,27-02-2021 15:15,NA,Rebound
84,SavedShot,0.92,0.562999992,0.328361452,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,15026,Sevilla,Barcelona,0,2,27-02-2021 15:15,Ilaix Moriba,TakeOn
15,BlockedShot,0.815999985,0.475,0.062026005,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,15033,Osasuna,Barcelona,0,2,06-03-2021 20:00,Óscar Mingueza,Pass
42,MissedShots,0.785,0.68,0.032544579,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,15033,Osasuna,Barcelona,0,2,06-03-2021 20:00,Jordi Alba,TakeOn
43,BlockedShot,0.820999985,0.637000008,0.056717239,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,15033,Osasuna,Barcelona,0,2,06-03-2021 20:00,Frenkie de Jong,Pass
47,SavedShot,0.755999985,0.370999985,0.026601534,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,15033,Osasuna,Barcelona,0,2,06-03-2021 20:00,Ousmane Dembélé,Pass
81,SavedShot,0.935,0.422999992,0.184063017,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,15033,Osasuna,Barcelona,0,2,06-03-2021 20:00,Martin Braithwaite,TakeOn
12,Goal,0.805,0.602000008,0.041483499,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,15039,Barcelona,SD Huesca,4,1,15-03-2021 20:00,Sergio Busquets,TakeOn
15,MissedShots,0.881999969,0.569000015,0.121755369,Lionel Messi,h,2097,OpenPlay,2020,RightFoot,15039,Barcelona,SD Huesca,4,1,15-03-2021 20:00,Ousmane Dembélé,Pass
70,MissedShots,0.895999985,0.839000015,0.099785566,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,15039,Barcelona,SD Huesca,4,1,15-03-2021 20:00,Pedri,TakeOn
89,Goal,0.746999969,0.377000008,0.029602502,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,15039,Barcelona,SD Huesca,4,1,15-03-2021 20:00,Trincão,Pass
10,SavedShot,0.815999985,0.55,0.061580375,Lionel Messi,a,2097,OpenPlay,2020,RightFoot,15054,Real Sociedad,Barcelona,1,6,21-03-2021 20:00,Jordi Alba,Pass
16,BlockedShot,0.811999969,0.470999985,0.054932751,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,15054,Real Sociedad,Barcelona,1,6,21-03-2021 20:00,Sergio Busquets,Pass
55,Goal,0.903000031,0.524000015,0.522255003,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,15054,Real Sociedad,Barcelona,1,6,21-03-2021 20:00,Sergio Busquets,Throughball
88,Goal,0.898000031,0.557000008,0.514252484,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,15054,Real Sociedad,Barcelona,1,6,21-03-2021 20:00,Jordi Alba,Pass
26,MissedShots,0.875999985,0.617999992,0.090832271,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,15059,Barcelona,Real Valladolid,1,0,05-04-2021 19:00,Jordi Alba,Pass
39,BlockedShot,0.865999985,0.627000008,0.078085035,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,15059,Barcelona,Real Valladolid,1,0,05-04-2021 19:00,Ousmane Dembélé,Pass
56,SavedShot,0.739000015,0.37,0.020655442,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,15059,Barcelona,Real Valladolid,1,0,05-04-2021 19:00,Antoine Griezmann,Pass
70,MissedShots,0.74,0.555,0.019548181,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,15059,Barcelona,Real Valladolid,1,0,05-04-2021 19:00,Ousmane Dembélé,Pass
40,BlockedShot,0.816999969,0.594000015,0.046623643,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,15074,Real Madrid,Barcelona,2,1,10-04-2021 19:00,Ronald Araújo,Pass
44,BlockedShot,0.965,0.716999969,0.038284361,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,15074,Real Madrid,Barcelona,2,1,10-04-2021 19:00,Clement Lenglet,Pass
47,BlockedShot,0.951999969,0.584000015,0.11577484,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,15074,Real Madrid,Barcelona,2,1,10-04-2021 19:00,Pedri,Pass
3,ShotOnPost,0.804000015,0.615,0.040148392,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,15080,Barcelona,Getafe,5,2,22-04-2021 20:00,Antoine Griezmann,Pass
7,Goal,0.859000015,0.627000008,0.229991168,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,15080,Barcelona,Getafe,5,2,22-04-2021 20:00,Sergio Busquets,TakeOn
15,MissedShots,0.84,0.666999969,0.046224974,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,15080,Barcelona,Getafe,5,2,22-04-2021 20:00,Jordi Alba,Pass
19,SavedShot,0.786999969,0.352000008,0.024242649,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,15080,Barcelona,Getafe,5,2,22-04-2021 20:00,Frenkie de Jong,None
90,MissedShots,0.893000031,0.32,0.076765709,Lionel Messi,h,2097,OpenPlay,2020,RightFoot,15080,Barcelona,Getafe,5,2,22-04-2021 20:00,Frenkie de Jong,Pass
17,SavedShot,0.94,0.696999969,0.043401774,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,15096,Villarreal,Barcelona,1,2,25-04-2021 14:15,Jordi Alba,Pass
56,MissedShots,0.856999969,0.447999992,0.109720141,Lionel Messi,a,2097,OpenPlay,2020,RightFoot,15096,Villarreal,Barcelona,1,2,25-04-2021 14:15,Antoine Griezmann,Pass
22,Goal,0.935999985,0.653000031,0.290729523,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,15101,Barcelona,Granada,1,2,29-04-2021 17:00,Antoine Griezmann,Pass
25,BlockedShot,0.796999969,0.5,0.059141885,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,15101,Barcelona,Granada,1,2,29-04-2021 17:00,Frenkie de Jong,Pass
28,BlockedShot,0.829000015,0.49,0.087242797,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,15101,Barcelona,Granada,1,2,29-04-2021 17:00,Frenkie de Jong,Pass
35,SavedShot,0.919000015,0.385999985,0.308404684,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,15101,Barcelona,Granada,1,2,29-04-2021 17:00,Sergio Busquets,Chipped
73,BlockedShot,0.761999969,0.487999992,0.027148928,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,15101,Barcelona,Granada,1,2,29-04-2021 17:00,Pedri,Pass
81,BlockedShot,0.916999969,0.565,0.112437338,Lionel Messi,a,2097,OpenPlay,2020,LeftFoot,15109,Valencia,Barcelona,2,3,02-05-2021 19:00,NA,None
40,SavedShot,0.855,0.492999992,0.091278426,Lionel Messi,h,2097,OpenPlay,2020,LeftFoot,15120,Barcelona,Atletico Madrid,0,0,08-05-2021 14:15,Frenkie de Jong,TakeOn
