index,player,team,minute,type,shot_type,shot_outcome,xG,x,y
3391,Lionel Andrés Messi Cuccittini,Barcelona,58,Shot,Open Play,Saved,0.25214064,111.1,29.4
3393,Lionel Andrés Messi Cuccittini,Barcelona,61,Shot,Open Play,Blocked,0.10299865,105,36.3
3400,Lionel Andrés Messi Cuccittini,Barcelona,87,Shot,Open Play,Blocked,0.063022345,103.3,40
3608,Lionel Andrés Messi Cuccittini,Barcelona,10,Shot,Open Play,Blocked,0.032145288,96,44
3612,Lionel Andrés Messi Cuccittini,Barcelona,20,Shot,Open Play,Off T,0.15985255,109.8,51.9
3691,Lionel Andrés Messi Cuccittini,Barcelona,21,Shot,Open Play,Off T,0.12873797,110.1,34.5
3702,Lionel Andrés Messi Cuccittini,Barcelona,45,Shot,Open Play,Blocked,0.022603534,100.9,46.3
4118,Lionel Andrés Messi Cuccittini,Barcelona,20,Shot,Open Play,Goal,0.07228296,100.7,46.2
4120,Lionel Andrés Messi Cuccittini,Barcelona,25,Shot,Open Play,Off T,0.068247475,103.6,39.4
3960,Lionel Andrés Messi Cuccittini,Barcelona,78,Shot,Open Play,Off T,0.045586545,96.2,30.5
3961,Lionel Andrés Messi Cuccittini,Barcelona,81,Shot,Open Play,Saved,0.1392294,114.9,46
3129,Lionel Andrés Messi Cuccittini,Barcelona,60,Shot,Open Play,Saved,0.057369433,112.1,52.9
3136,Lionel Andrés Messi Cuccittini,Barcelona,74,Shot,Open Play,Saved,0.20508876,99.8,41.8
3827,Lionel Andrés Messi Cuccittini,Barcelona,14,Shot,Open Play,Off T,0.14904714,105.8,28.7
3838,Lionel Andrés Messi Cuccittini,Barcelona,41,Shot,Open Play,Goal,0.09605372,108.3,42.6
3848,Lionel Andrés Messi Cuccittini,Barcelona,72,Shot,Open Play,Blocked,0.048730742,102.1,49.4
3602,Lionel Andrés Messi Cuccittini,Barcelona,9,Shot,Open Play,Saved,0.056283057,99.4,31.6
3610,Lionel Andrés Messi Cuccittini,Barcelona,34,Shot,Open Play,Saved,0.048770953,102,40.6
3613,Lionel Andrés Messi Cuccittini,Barcelona,47,Shot,Open Play,Saved,0.16825865,112.1,49.8
3732,Lionel Andrés Messi Cuccittini,Barcelona,13,Shot,Open Play,Post,0.22906175,109.2,45.6
3739,Lionel Andrés Messi Cuccittini,Barcelona,30,Shot,Open Play,Saved,0.08611391,98.6,45.3
3741,Lionel Andrés Messi Cuccittini,Barcelona,35,Shot,Open Play,Goal,0.37208787,99.1,28.7
3749,Lionel Andrés Messi Cuccittini,Barcelona,63,Shot,Open Play,Off T,0.30510807,105.9,36.1
3751,Lionel Andrés Messi Cuccittini,Barcelona,67,Shot,Open Play,Goal,0.19457118,104.9,40.8
3162,Lionel Andrés Messi Cuccittini,Barcelona,35,Shot,Open Play,Goal,0.13398427,101,38.7
3171,Lionel Andrés Messi Cuccittini,Barcelona,55,Shot,Open Play,Wayward,0.11365714,113.5,36.1
3174,Lionel Andrés Messi Cuccittini,Barcelona,69,Shot,Open Play,Blocked,0.09155189,106.8,34
3179,Lionel Andrés Messi Cuccittini,Barcelona,88,Shot,Open Play,Blocked,0.038054112,105.4,28.9
