id,minute,result,X,Y,xG,player,h_a,player_id,situation,year,shotType,match_id,h_team,a_team,h_goals,a_goals,date,player_assisted,lastAction
366271,24,BlockedShot,0.835999985,0.504000015,0.078062557,Lionel Messi,h,2097,OpenPlay,2019,LeftFoot,12324,Barcelona,Athletic Club,1,0,23-06-2020 20:00,Sergio Busquets,Pass
366274,43,MissedShots,0.740999985,0.555,0.022030951,Lionel Messi,h,2097,OpenPlay,2019,LeftFoot,12324,Barcelona,Athletic Club,1,0,23-06-2020 20:00,Arthur,Pass
366279,79,MissedShots,0.883000031,0.347999992,0.071239062,Lionel Messi,h,2097,OpenPlay,2019,LeftFoot,12324,Barcelona,Athletic Club,1,0,23-06-2020 20:00,Nélson Semedo,Pass
366281,88,BlockedShot,0.796999969,0.5,0.061106898,Lionel Messi,h,2097,OpenPlay,2019,LeftFoot,12324,Barcelona,Athletic Club,1,0,23-06-2020 20:00,Anssumane Fati,Pass
367113,9,BlockedShot,0.769000015,0.272999992,0.012544164,Lionel Messi,a,2097,OpenPlay,2019,LeftFoot,12335,Celta Vigo,Barcelona,2,2,27-06-2020 15:00,Ivan Rakitic,Chipped
367124,39,MissedShots,0.825999985,0.44,0.139088929,Lionel Messi,a,2097,OpenPlay,2019,LeftFoot,12335,Celta Vigo,Barcelona,2,2,27-06-2020 15:00,Ivan Rakitic,TakeOn
367128,50,MissedShots,0.958000031,0.412999992,0.091804326,Lionel Messi,a,2097,OpenPlay,2019,LeftFoot,12335,Celta Vigo,Barcelona,2,2,27-06-2020 15:00,Arturo Vidal,None
367129,53,MissedShots,0.8,0.515,0.037011381,Lionel Messi,a,2097,OpenPlay,2019,LeftFoot,12335,Celta Vigo,Barcelona,2,2,27-06-2020 15:00,Luis Suárez,TakeOn
367131,58,BlockedShot,0.845999985,0.714000015,0.034925554,Lionel Messi,a,2097,OpenPlay,2019,LeftFoot,12335,Celta Vigo,Barcelona,2,2,27-06-2020 15:00,Jordi Alba,Pass
367807,7,BlockedShot,0.715,0.482000008,0.015251481,Lionel Messi,h,2097,OpenPlay,2019,LeftFoot,12344,Barcelona,Atletico Madrid,2,2,30-06-2020 20:00,Arturo Vidal,Pass
367813,21,ShotOnPost,0.849000015,0.298999996,0.03860414,Lionel Messi,h,2097,OpenPlay,2019,LeftFoot,12344,Barcelona,Atletico Madrid,2,2,30-06-2020 20:00,Arturo Vidal,Pass
367814,29,MissedShots,0.810999985,0.525,0.058886137,Lionel Messi,h,2097,OpenPlay,2019,LeftFoot,12344,Barcelona,Atletico Madrid,2,2,30-06-2020 20:00,Jordi Alba,Pass
369292,52,SavedShot,0.854000015,0.495999985,0.127261087,Lionel Messi,a,2097,OpenPlay,2019,LeftFoot,12361,Villarreal,Barcelona,1,4,05-07-2020 20:00,Antoine Griezmann,Pass
369300,90,SavedShot,0.949000015,0.344000015,0.092498705,Lionel Messi,a,2097,OpenPlay,2019,LeftFoot,12361,Villarreal,Barcelona,1,4,05-07-2020 20:00,Sergi Roberto,Pass
