,Unnamed: 0,index,player,team,minute,type,shot_type,shot_outcome,xG,x,y
52,5,3616,Lionel Andrés Messi Cuccittini,Barcelona,30,Shot,Open Play,Blocked,0.055046868,105.4,51.2
53,7,3618,Lionel Andrés Messi Cuccittini,Barcelona,37,Shot,Open Play,Post,0.042252634,111.4,34.7
54,10,3621,Lionel Andrés Messi Cuccittini,Barcelona,55,Shot,Open Play,Goal,0.33198264,112.1,28.3
55,11,3622,Lionel Andrés Messi Cuccittini,Barcelona,57,Shot,Open Play,Goal,0.472923,113.6,38.2
56,15,3626,Lionel Andrés Messi Cuccittini,Barcelona,77,Shot,Open Play,Blocked,0.069938704,105.3,39.2
57,6,2857,Lionel Andrés Messi Cuccittini,Barcelona,36,Shot,Open Play,Saved,0.07202372,116.8,29.2
58,7,2859,Lionel Andrés Messi Cuccittini,Barcelona,43,Shot,Open Play,Saved,0.01769505,89.3,48.9
59,9,2862,Lionel Andrés Messi Cuccittini,Barcelona,58,Shot,Open Play,Saved,0.07126255,100.7,35.1
60,11,2870,Lionel Andrés Messi Cuccittini,Barcelona,74,Shot,Open Play,Goal,0.635084,113.0,41.7
61,12,2871,Lionel Andrés Messi Cuccittini,Barcelona,79,Shot,Open Play,Goal,0.15535009,104.4,42.2
62,13,2874,Lionel Andrés Messi Cuccittini,Barcelona,88,Shot,Open Play,Blocked,0.03807884,97.6,26.2
63,0,3571,Lionel Andrés Messi Cuccittini,Barcelona,15,Shot,Open Play,Goal,0.23662679,105.8,33.2
64,3,3575,Lionel Andrés Messi Cuccittini,Barcelona,24,Shot,Open Play,Goal,0.08952096,104.8,31.5
65,5,3578,Lionel Andrés Messi Cuccittini,Barcelona,43,Shot,Open Play,Blocked,0.024568722,100.4,44.0
66,8,3586,Lionel Andrés Messi Cuccittini,Barcelona,82,Shot,Open Play,Saved to Post,0.1627022,108.1,35.1
67,1,3615,Lionel Andrés Messi Cuccittini,Barcelona,30,Shot,Open Play,Goal,0.37443283,114.3,40.4
68,3,3621,Lionel Andrés Messi Cuccittini,Barcelona,69,Shot,Open Play,Off T,0.1034484,108.3,28.6
69,1,3658,Lionel Andrés Messi Cuccittini,Barcelona,10,Shot,Open Play,Goal,0.16946594,104.4,43.9
70,2,3659,Lionel Andrés Messi Cuccittini,Barcelona,15,Shot,Open Play,Blocked,0.04604387,102.0,35.4
71,3,3660,Lionel Andrés Messi Cuccittini,Barcelona,15,Shot,Open Play,Goal,0.14694595,111.1,34.1
72,4,3661,Lionel Andrés Messi Cuccittini,Barcelona,16,Shot,Open Play,Off T,0.040291492,105.6,40.4
73,6,3665,Lionel Andrés Messi Cuccittini,Barcelona,35,Shot,Open Play,Saved,0.18001582,108.8,30.9
74,8,3670,Lionel Andrés Messi Cuccittini,Barcelona,51,Shot,Open Play,Off T,0.16482028,108.7,30.5
75,14,3677,Lionel Andrés Messi Cuccittini,Barcelona,81,Shot,Open Play,Saved,0.07613107,102.2,38.6
76,1,2908,Lionel Andrés Messi Cuccittini,Barcelona,19,Shot,Open Play,Off T,0.05190288,106.5,24.8
77,6,2918,Lionel Andrés Messi Cuccittini,Barcelona,47,Shot,Open Play,Goal,0.16598232,105.2,39.8
78,7,2925,Lionel Andrés Messi Cuccittini,Barcelona,63,Shot,Open Play,Off T,0.27024338,104.3,29.4
79,10,2932,Lionel Andrés Messi Cuccittini,Barcelona,84,Shot,Open Play,Off T,0.18375605,100.2,37.7
80,12,2934,Lionel Andrés Messi Cuccittini,Barcelona,88,Shot,Open Play,Goal,0.47763273,115.7,50.6
81,1,3368,Lionel Andrés Messi Cuccittini,Barcelona,12,Shot,Open Play,Saved,0.12196842,107.5,30.5
82,3,3373,Lionel Andrés Messi Cuccittini,Barcelona,27,Shot,Open Play,Blocked,0.29519564,111.7,41.6
83,7,3380,Lionel Andrés Messi Cuccittini,Barcelona,55,Shot,Open Play,Blocked,0.038063034,96.8,46.8
84,3,4265,Lionel Andrés Messi Cuccittini,Barcelona,21,Shot,Open Play,Saved,0.08127828,112.4,50.5
85,8,4273,Lionel Andrés Messi Cuccittini,Barcelona,59,Shot,Open Play,Goal,0.2103413,110.9,37.6
86,9,4274,Lionel Andrés Messi Cuccittini,Barcelona,65,Shot,Open Play,Off T,0.037619002,93.3,42.8
87,12,4282,Lionel Andrés Messi Cuccittini,Barcelona,84,Shot,Open Play,Off T,0.037610825,98.4,37.9
88,0,3479,Lionel Andrés Messi Cuccittini,Barcelona,4,Shot,Open Play,Off T,0.26707682,110.2,30.0
89,1,3480,Lionel Andrés Messi Cuccittini,Barcelona,6,Shot,Open Play,Goal,0.079558305,102.0,41.5
90,4,3486,Lionel Andrés Messi Cuccittini,Barcelona,38,Shot,Open Play,Post,0.2673821,95.5,29.7
91,5,3489,Lionel Andrés Messi Cuccittini,Barcelona,43,Shot,Open Play,Saved,0.041586697,107.5,25.4
92,2,4137,Lionel Andrés Messi Cuccittini,Barcelona,49,Shot,Open Play,Blocked,0.106828466,108.0,30.7
93,4,4141,Lionel Andrés Messi Cuccittini,Barcelona,57,Shot,Open Play,Off T,0.017043887,90.6,39.3
94,7,4151,Lionel Andrés Messi Cuccittini,Barcelona,90,Shot,Open Play,Blocked,0.03432888,99.4,28.6
95,0,4268,Lionel Andrés Messi Cuccittini,Barcelona,10,Shot,Open Play,Blocked,0.017081019,96.8,58.5
96,1,4270,Lionel Andrés Messi Cuccittini,Barcelona,33,Shot,Open Play,Saved,0.058015577,110.9,34.1
97,4,4274,Lionel Andrés Messi Cuccittini,Barcelona,58,Shot,Open Play,Off T,0.29852697,109.7,47.0
98,5,4275,Lionel Andrés Messi Cuccittini,Barcelona,58,Shot,Open Play,Goal,0.10204136,103.3,31.9
99,6,4276,Lionel Andrés Messi Cuccittini,Barcelona,71,Shot,Open Play,Off T,0.12999839,97.2,41.9
100,2,4036,Lionel Andrés Messi Cuccittini,Barcelona,15,Shot,Open Play,Off T,0.09453389,108.6,38.8
101,3,4037,Lionel Andrés Messi Cuccittini,Barcelona,18,Shot,Open Play,Saved,0.051598497,109.4,36.6
102,5,4039,Lionel Andrés Messi Cuccittini,Barcelona,21,Shot,Open Play,Blocked,0.02875812,94.1,44.3
103,10,4045,Lionel Andrés Messi Cuccittini,Barcelona,46,Shot,Open Play,Blocked,0.032498542,116.0,51.3
104,14,4054,Lionel Andrés Messi Cuccittini,Barcelona,83,Shot,Open Play,Blocked,0.08359903,102.6,41.3
105,1,3500,Lionel Andrés Messi Cuccittini,Barcelona,65,Shot,Open Play,Blocked,0.056751154,109.1,53.4
106,2,3501,Lionel Andrés Messi Cuccittini,Barcelona,72,Shot,Open Play,Goal,0.22053203,108.9,39.4
107,3,3620,Lionel Andrés Messi Cuccittini,Barcelona,39,Shot,Open Play,Goal,0.15381014,107.6,28.2
108,7,3627,Lionel Andrés Messi Cuccittini,Barcelona,56,Shot,Open Play,Goal,0.39630094,106.8,31.0
109,8,3629,Lionel Andrés Messi Cuccittini,Barcelona,67,Shot,Open Play,Blocked,0.054672882,107.9,27.8
110,9,3632,Lionel Andrés Messi Cuccittini,Barcelona,71,Shot,Open Play,Saved,0.12495999,107.9,30.5
111,16,3645,Lionel Andrés Messi Cuccittini,Barcelona,92,Shot,Open Play,Saved,0.07038574,116.4,53.8
112,0,4127,Lionel Andrés Messi Cuccittini,Barcelona,1,Shot,Open Play,Off T,0.20917448,106.3,40.0
113,3,4130,Lionel Andrés Messi Cuccittini,Barcelona,15,Shot,Open Play,Goal,0.33617553,104.8,36.5
114,6,4138,Lionel Andrés Messi Cuccittini,Barcelona,59,Shot,Open Play,Goal,0.05558578,99.3,47.2
