index,player,team,minute,type,shot_type,shot_outcome,xG,x,y
3444,Lionel Andrés Messi Cuccittini,Barcelona,64,Shot,Open Play,Off T,0.071067706,99.7,45.7
3456,Lionel Andrés Messi Cuccittini,Barcelona,92,Shot,Open Play,Off T,0.19153312,96.3,39.8
3258,Lionel Andrés Messi Cuccittini,Barcelona,23,Shot,Open Play,Saved,0.1415835,111.7,28.2
3260,Lionel Andrés Messi Cuccittini,Barcelona,28,Shot,Open Play,Saved,0.6884792,107.8,38.6
3262,Lionel Andrés Messi Cuccittini,Barcelona,33,Shot,Open Play,Off T,0.0721064,101.1,29.1
3263,Lionel Andrés Messi Cuccittini,Barcelona,35,Shot,Open Play,Goal,0.4359156,108,45.5
3267,Lionel Andrés Messi Cuccittini,Barcelona,53,Shot,Open Play,Wayward,0.1041767,118.3,50.5
3270,Lionel Andrés Messi Cuccittini,Barcelona,74,Shot,Open Play,Goal,0.5175848,113.5,46.1
3272,Lionel Andrés Messi Cuccittini,Barcelona,86,Shot,Open Play,Off T,0.2680607,112.4,44
3332,Lionel Andrés Messi Cuccittini,Barcelona,19,Shot,Open Play,Saved,0.023819668,95.4,50.3
3333,Lionel Andrés Messi Cuccittini,Barcelona,21,Shot,Open Play,Saved,0.16774136,109.5,51.3
3341,Lionel Andrés Messi Cuccittini,Barcelona,37,Shot,Open Play,Blocked,0.019579358,95.2,52.4
3344,Lionel Andrés Messi Cuccittini,Barcelona,49,Shot,Open Play,Off T,0.031258043,107,54.3
3345,Lionel Andrés Messi Cuccittini,Barcelona,50,Shot,Open Play,Goal,0.25471687,109.2,30.6
3569,Lionel Andrés Messi Cuccittini,Barcelona,64,Shot,Open Play,Blocked,0.06272418,111,49.9
3577,Lionel Andrés Messi Cuccittini,Barcelona,88,Shot,Open Play,Blocked,0.04302556,102.5,53.7
3085,Lionel Andrés Messi Cuccittini,Barcelona,10,Shot,Open Play,Off T,0.05090921,103,49.8
3103,Lionel Andrés Messi Cuccittini,Barcelona,77,Shot,Open Play,Saved,0.18691872,112.4,51.7
3106,Lionel Andrés Messi Cuccittini,Barcelona,88,Shot,Open Play,Blocked,0.07766804,98.4,38.9
3407,Lionel Andrés Messi Cuccittini,Barcelona,64,Shot,Open Play,Goal,0.26406315,117.3,45.7
3410,Lionel Andrés Messi Cuccittini,Barcelona,80,Shot,Open Play,Goal,0.06083967,110.1,50.9
3367,Lionel Andrés Messi Cuccittini,Barcelona,16,Shot,Open Play,Off T,0.015874388,99.2,57.6
3380,Lionel Andrés Messi Cuccittini,Barcelona,58,Shot,Open Play,Blocked,0.02387568,105.1,23.7
3385,Lionel Andrés Messi Cuccittini,Barcelona,67,Shot,Open Play,Saved,0.034889266,101.2,35.5
3387,Lionel Andrés Messi Cuccittini,Barcelona,77,Shot,Open Play,Goal,0.023701616,98.6,35.3
3389,Lionel Andrés Messi Cuccittini,Barcelona,83,Shot,Open Play,Off T,0.021673545,95.1,40.9
3391,Lionel Andrés Messi Cuccittini,Barcelona,91,Shot,Open Play,Goal,0.31863105,104.5,17.9
3132,Lionel Andrés Messi Cuccittini,Barcelona,12,Shot,Open Play,Saved,0.040873278,98.9,30.5
3133,Lionel Andrés Messi Cuccittini,Barcelona,20,Shot,Open Play,Off T,0.079421684,112.3,28.6
3137,Lionel Andrés Messi Cuccittini,Barcelona,24,Shot,Open Play,Off T,0.06948236,118.2,33.2
3144,Lionel Andrés Messi Cuccittini,Barcelona,43,Shot,Open Play,Blocked,0.06996174,107.5,48.8
3146,Lionel Andrés Messi Cuccittini,Barcelona,47,Shot,Open Play,Blocked,0.08457888,107.3,47.3
3155,Lionel Andrés Messi Cuccittini,Barcelona,84,Shot,Open Play,Goal,0.13699763,112,46.8
3156,Lionel Andrés Messi Cuccittini,Barcelona,89,Shot,Open Play,Goal,0.14524165,109.6,38.9
3120,Lionel Andrés Messi Cuccittini,Barcelona,14,Shot,Open Play,Off T,0.07811634,107.2,36.3
3124,Lionel Andrés Messi Cuccittini,Barcelona,23,Shot,Open Play,Goal,0.3185956,111.8,38.8
3125,Lionel Andrés Messi Cuccittini,Barcelona,26,Shot,Open Play,Saved,0.06258392,101.1,49.7
3256,Lionel Andrés Messi Cuccittini,Barcelona,73,Shot,Open Play,Blocked,0.015218192,92.9,39.7
3629,Lionel Andrés Messi Cuccittini,Barcelona,36,Shot,Open Play,Saved,0.12689702,114.5,50.9
3580,Lionel Andrés Messi Cuccittini,Barcelona,13,Shot,Open Play,Blocked,0.14859687,105,41.5
3591,Lionel Andrés Messi Cuccittini,Barcelona,50,Shot,Open Play,Blocked,0.049226064,111.6,30.7
3825,Lionel Andrés Messi Cuccittini,Barcelona,27,Shot,Open Play,Blocked,0.014426366,115.6,24
3842,Lionel Andrés Messi Cuccittini,Barcelona,94,Shot,Open Play,Blocked,0.06576505,98.9,45.5
3596,Lionel Andrés Messi Cuccittini,Barcelona,17,Shot,Open Play,Blocked,0.017791077,108.3,58.2
